#  ID, log_mass_16, log_mass_50, log_mass_84, log_sfr_16, log_sfr_50, log_sfr_84 
# 
4055.0000000 8.8101640 9.0200000 9.1652400 -0.0808642 0.2650000 0.8287664
4061.0000000 10.7315468 10.8798816 11.0132880 -4.5010924 -1.2501787 0.6473238
4170.0000000 10.5302451 10.6818133 10.8584482 1.3791624 1.7212098 1.9968800
4186.0000000 9.6353200 9.7508722 9.9119739 0.8401293 1.1322848 1.4683072
4215.0000000 10.9504518 11.2255000 11.2749919 1.2507307 1.5718662 2.0898450
4347.0000000 10.2235366 10.3531592 10.5438073 0.2748739 1.3270000 1.5711013
4375.0000000 10.5464120 10.9900000 11.0654017 1.0212284 1.6540945 2.7361282
4458.0000000 10.0641533 10.2550000 10.3554100 -1.4423382 -0.7880000 1.2184550
4528.0000000 11.0104974 11.0784568 11.2899789 -6.4362343 -2.1130000 0.3466883
4588.0000000 9.0864056 9.1890061 9.3998007 -0.0985712 0.2968743 0.5860988
4607.0000000 10.8702877 11.0339524 11.0884000 0.2847571 0.8268627 1.2906000
4643.0000000 9.4831479 9.5958965 9.7520800 0.2737737 0.5928048 0.9351450
5011.0000000 9.3338178 9.5279646 10.0470318 0.9227990 1.2672822 1.5772833
5067.0000000 9.7571148 9.9441344 9.9842097 -1.3177052 -0.8454660 0.8041664
5218.0000000 9.5890164 9.6954917 9.8382772 0.4120192 0.7684123 1.1175864
5567.0000000 9.3276472 9.4117166 9.5732536 -0.1263775 0.2220000 1.1712582
5788.0000000 9.3490353 9.4307538 9.5350578 -0.0566633 0.4531960 1.0008824
5844.0000000 8.7966951 9.1028694 9.3162734 -0.1140292 0.4768316 1.0352516
5949.0000000 10.0365925 10.2655000 10.3801090 -2.6586436 -0.0472076 1.3007102
6140.0000000 9.5127375 9.5842863 9.8391705 0.7715556 1.0320000 1.6463600
6158.0000000 9.4503038 9.5398055 9.7066046 0.0057654 0.8689797 1.1635192
6220.0000000 10.7911747 10.9600000 11.0402193 1.2873563 1.6342809 1.8664400
6400.0000000 10.4465641 10.6151270 10.6678808 -0.6953681 -0.3134686 1.2072344
6664.0000000 9.1101310 9.2532265 9.5746033 0.1434438 0.8951512 1.1328444
7010.0000000 9.9418906 10.0575588 10.2132181 -0.3427312 0.6756213 1.0766021
7093.0000000 8.6664441 8.9690232 9.0482151 -0.4864650 0.2834863 0.8516816
7182.0000000 10.7353084 10.8593301 11.1181845 1.0498807 1.9115758 2.4615484
7194.0000000 10.6803564 10.7700000 10.9644676 -0.6181124 1.7053529 1.9838617
7218.0000000 10.4322187 10.6133309 10.7602209 -6.4848391 -1.7657241 -0.1735442
7602.0000000 8.9435195 9.0111098 9.1628246 0.3057944 0.5162148 0.9265856
7648.0000000 9.2655987 9.4047143 9.5892175 0.0816939 0.3904588 0.7893302
7763.0000000 9.2031475 9.2951072 9.4583156 0.4863120 0.7147573 0.8661553
7771.0000000 9.4492168 9.5564727 9.6781809 0.2481278 0.7658686 1.1113744
7836.0000000 10.3096193 10.3640000 10.5542578 0.7347648 1.6883590 1.9115291
7885.0000000 10.6269136 10.7261359 10.9159502 -0.2703274 1.0480532 1.3941602
7987.0000000 9.6746115 9.7628687 10.0012715 0.4910275 0.9696461 1.1719321
8037.0000000 9.5401726 9.6483026 9.7710456 0.4119149 0.7368521 1.0672718
8040.0000000 10.4222820 10.5526058 10.6746125 -1.8785586 -0.9675909 0.3751427
8066.0000000 10.3317480 10.4970000 10.5713968 -0.8632770 -0.0852125 0.7112215
8112.0000000 9.1392375 9.2775000 9.4488007 -0.3234062 0.1970000 0.6150191
8153.0000000 10.2086085 10.4316652 10.5508524 0.6246121 1.2460769 1.7270712
8166.0000000 10.2116833 10.3854368 10.7030291 1.2118736 1.3326078 1.6113972
8401.0000000 9.6794527 9.7810000 10.0673003 0.7549362 1.1558262 1.3597344
8460.0000000 9.0623924 9.1354928 9.2772368 0.0746468 0.3777682 0.9759488
8539.0000000 9.0263984 9.1879916 9.3373324 -0.4884677 0.1687920 0.7861600
8585.0000000 8.9054113 8.9785620 9.2624338 0.3935462 0.5500000 1.0447928
8975.0000000 9.0044435 9.0857942 9.2924163 0.2134805 0.3564402 0.9261160
9025.0000000 10.3224525 10.4758018 10.6037908 0.0652799 0.5780528 1.1467600
9371.0000000 8.7689677 8.9017860 9.0565701 -0.1597228 0.0502247 0.5006652
9379.0000000 9.3971948 9.6276801 9.9388448 0.3572545 1.0252159 1.2259525
9605.0000000 8.8625272 8.9280025 9.0971458 0.0724285 0.3382039 1.0149728
9768.0000000 10.5022020 10.5864248 10.8741029 1.2508856 1.6304794 2.1019006
9870.0000000 9.4127511 9.4989243 9.7196180 -0.3640566 0.8887915 1.1251988
9883.0000000 9.0297076 9.3181734 9.5200966 1.0392787 1.2270000 1.4464112
10055.0000000 9.4785867 9.5875565 9.6772453 -0.3628000 0.2870211 1.3017199
10074.0000000 8.9877856 9.1318334 9.1625003 -0.1684481 0.1559595 0.6097640
10098.0000000 9.6552902 9.8114165 9.9995711 0.7564331 1.3420000 1.5404496
10245.0000000 9.0826643 9.2060000 9.3684845 0.0692583 0.2924109 1.2068250
10412.0000000 11.0533066 11.1858541 11.2662585 0.7478168 1.9416006 2.1084600
10464.0000000 9.3069152 9.3759466 9.5609404 0.1533496 0.3499996 1.3241984
10495.0000000 10.3192797 10.4901974 10.6425118 0.7557423 1.0096936 1.2151709
10678.0000000 9.4151785 9.5475713 9.9164067 0.8981086 1.3509603 1.4863200
11057.0000000 9.5470848 9.6406006 9.8802661 0.7440088 1.0020000 1.2047121
11155.0000000 9.1053707 9.1797759 9.3289772 0.2909902 0.5311083 0.7372361
11424.0000000 8.8554171 8.9428772 9.2178400 0.3384465 0.5302944 0.8733191
11617.0000000 10.1918400 10.3443022 10.5225833 0.5697656 1.3769393 1.8434760
11980.0000000 10.5144302 10.6494715 10.7667538 -1.8318360 -0.8593650 0.3143420
12215.0000000 9.3584673 9.4456358 9.6241468 -0.0209479 0.9665453 1.2378335
