# ID    tau_v16   tau_v50   tau_v84   age_mw16   age_mw50   age_mw84   Mstar16   Mstar50   Mstar84   SFR16_7   SFR50_7   SFR84_7   SFR16_8   SFR50_8   SFR84_8 Av Av_std 
  1256         1.692   1.692   1.692   9.025   9.025   9.025   11.100   11.100   11.110 0.907   0.912   0.922 0.907   0.912   0.922 0.9125 0.017657035425 
  12588         0.882   2.912   2.912   8.125   8.525   8.925   9.062   9.117   9.257 0.172   0.467   0.777 0.172   0.477   0.777 0.975 0.0210747692751 
  12829         0.677   1.262   3.477   9.025   9.125   9.325   9.462   9.512   9.572 0.043   0.062   0.232 0.033   0.072   0.237 0.21 0.007310266753 
  12997         0.567   0.567   0.567   8.575   8.575   8.575   9.462   9.477   9.487 0.697   0.712   0.722 0.707   0.722   0.732 0.2875 0.00761228447971 
  13086         0.392   0.392   0.557   8.475   8.575   8.575   9.017   9.117   9.127 0.287   0.302   0.337 0.302   0.317   0.347 0.18 0.00472653149783 
  13097         1.352   1.367   3.347   8.775   8.775   8.825   10.330   10.350   10.360 1.332   1.347   1.362 1.342   1.357   1.377 0.965 0.0220223954192 
  13249         1.637   3.992   3.992   8.625   8.625   8.675   9.807   9.852   9.862 0.487   0.497   0.697 0.492   0.502   0.712 1.37 0.026340176537 
  13312         1.337   1.337   1.337   8.775   8.775   8.775   9.437   9.447   9.457 0.497   0.507   0.512 0.497   0.507   0.512 0.675 0.0151786453612 
  13400         0.542   1.217   1.217   8.275   8.275   8.475   9.407   9.417   9.477 0.792   0.972   0.977 0.797   0.972   0.977 0.3975 0.0115395786318 
  13601         2.922   2.922   2.922   9.025   9.025   9.025   11.100   11.120   11.120 1.727   1.742   1.742 1.742   1.757   1.757 1.4125 0.0296135150734 
  13637         0.767   0.767   0.767   9.225   9.225   9.225   10.610   10.620   10.620 0.168   0.163   0.158 0.153   0.148   0.143 0.3375 0.00650519792166 
  13890         0.227   0.227   0.227   8.875   8.875   8.875   9.207   9.212   9.222 0.468   0.463   0.453 0.468   0.463   0.453 0.04 0.00182745724984 
  13903         1.082   1.082   1.082   8.875   8.875   8.875   9.372   9.382   9.392 0.327   0.337   0.347 0.327   0.337   0.347 0.605 0.0133592701896 
  13995         0.722   1.092   1.092   8.075   8.075   8.125   8.747   8.762   8.832 0.412   0.447   0.467 0.427   0.462   0.482 0.4525 0.0124424676009 
  14098         0.787   1.437   2.432   8.475   8.625   8.775   9.472   9.507   9.557 0.377   0.512   0.762 0.392   0.527   0.777 0.6775 0.0150596306396 
  14099         0.652   1.722   2.407   8.675   8.675   8.775   9.767   9.792   9.862 0.882   0.947   0.972 0.882   0.952   0.977 0.4125 0.0118488174515 
  14222         3.717   4.252   4.252   8.475   8.525   8.525   9.062   9.062   9.112 0.317   0.317   0.437 0.327   0.327   0.447 0.6025 0.012327906351 
  14246         2.877   2.877   2.877   8.875   8.875   8.875   10.510   10.510   10.510 1.432   1.432   1.432 1.437   1.437   1.437 2.67 0.0520366457412 
  14288         0.367   0.367   0.477   8.275   8.375   8.375   9.112   9.142   9.147 0.512   0.527   0.602 0.527   0.542   0.627 0.245 0.0054043755421 
  143         0.372   0.917   1.872   8.775   8.825   9.125   9.402   9.437   9.512 0.097   0.622   0.772 0.102   0.627   0.662 0.8025 0.020651329255 
  14637         3.817   3.817   3.817   8.325   8.325   8.325   10.090   10.090   10.090 1.547   1.572   1.572 1.557   1.582   1.582 1.215 0.0245545637306 
  14650         0.402   0.402   0.402   8.775   8.775   8.775   8.922   8.922   8.922 0.043   0.043   0.043 0.033   0.033   0.033 0.255 0.00554096336389 
