#ID     Ln(Age/yr)    sigma(Ln(Age/yr))  Ln(StM/MSun)  sigma(Ln(StM/MSun))   EBV    sigma(EBV)    ln(tau)   sigma(ln(tau))    BF_Chi2     Quality(1=best) 
 1	0.224130E+02 	 0.104369E+01 	 0.228323E+02 	 0.480084E+00 	 0.326047E+00 	 0.619669E-01  	 0.137318E+01 	 0.105917E+01  	9.50      	1
2	0.181904E+02 	 0.169877E+00 	 0.204869E+02 	 0.945618E-01 	 0.345979E+00 	 0.975027E-02  	 -0.212092E+01 	 0.582581E+00  	131.51    	1
3	0.193413E+02 	 0.466995E+00 	 0.230159E+02 	 0.148443E+00 	 0.316127E+00 	 0.168931E-01  	 -0.224593E+01 	 0.116436E+01  	64.41     	1
4	0.193855E+02 	 0.351019E+00 	 0.227336E+02 	 0.119484E+00 	 0.294839E+00 	 0.174573E-01  	 -0.213908E+01 	 0.900337E+00  	21.85     	1
5	0.202705E+02 	 0.411067E+00 	 0.246037E+02 	 0.118466E+00 	 0.461056E+00 	 0.187291E-01  	 -0.115632E+01 	 0.756845E+00  	18.42     	1
6	0.192924E+02 	 0.581955E+00 	 0.211694E+02 	 0.239983E+00 	 0.282349E+00 	 0.283093E-01  	 -0.221093E+01 	 0.110915E+01  	3.80      	1
7	0.210176E+02 	 0.506781E+00 	 0.210749E+02 	 0.185116E+00 	 0.970426E-01 	 0.412638E-01  	 -0.481986E+00 	 0.843327E+00  	9.02      	1
8	0.198603E+02 	 0.215203E+00 	 0.217947E+02 	 0.698737E-01 	 0.148706E+00 	 0.235898E-01  	 -0.211988E+01 	 0.238999E+00  	26.44     	2
9	0.217842E+02 	 0.359315E+00 	 0.214406E+02 	 0.173072E+00 	 0.499981E-01 	 0.317751E-01  	 0.296602E+00 	 0.544748E+00  	7.72      	1
10	0.195964E+02 	 0.397189E+00 	 0.228387E+02 	 0.114118E+00 	 0.531902E+00 	 0.189338E-01  	 -0.213589E+01 	 0.747592E+00  	18.15     	1
11	0.196202E+02 	 0.336527E+00 	 0.226381E+02 	 0.971003E-01 	 0.248676E+00 	 0.169311E-01  	 -0.215232E+01 	 0.528326E+00  	8.50      	2
12	0.204681E+02 	 0.456878E+00 	 0.229742E+02 	 0.136724E+00 	 0.275740E+00 	 0.236258E-01  	 -0.114843E+01 	 0.612234E+00  	25.95     	2
13	0.201039E+02 	 0.350973E+00 	 0.213762E+02 	 0.109409E+00 	 0.949757E-01 	 0.220923E-01  	 -0.154118E+01 	 0.499981E+00  	12.25     	1
14	0.209081E+02 	 0.162504E+00 	 0.217357E+02 	 0.427151E-01 	 0.798829E-01 	 0.380887E-01  	 -0.150888E+01 	 0.201868E+00  	12.29     	1
15	0.220063E+02 	 0.298355E+00 	 0.238519E+02 	 0.138009E+00 	 0.427217E+00 	 0.250338E-01  	 0.159998E+01 	 0.384189E+00  	26.19     	1
16	0.206085E+02 	 0.152526E+00 	 0.231394E+02 	 0.344544E-01 	 0.184376E+00 	 0.289292E-01  	 -0.215822E+01 	 0.604315E-01  	6.62      	1
17	0.195345E+02 	 0.383232E+00 	 0.224579E+02 	 0.106358E+00 	 0.387485E+00 	 0.161986E-01  	 -0.216742E+01 	 0.843909E+00  	29.05     	1
18	0.202327E+02 	 0.471294E-01 	 0.253959E+02 	 0.183670E-01 	 0.243786E+00 	 0.104496E-01  	 -0.211838E+01 	 0.380517E-01  	48.56     	2
19	0.196991E+02 	 0.285767E+00 	 0.208085E+02 	 0.950195E-01 	 0.810547E-01 	 0.260884E-01  	 -0.213248E+01 	 0.399959E+00  	14.02     	1
