# ID    tau_v16   tau_v50   tau_v84   age_mw16   age_mw50   age_mw84   Mstar16   Mstar50   Mstar84   SFR16_7   SFR50_7   SFR84_7   SFR16_8   SFR50_8   SFR84_8 
  17062         1.677   1.677   1.677   9.175   9.175   9.175   9.462   9.467   9.477 1.173   1.168   1.158 1.168   1.163   1.153
  17064         4.062   4.062   4.062   9.475   9.475   9.475   10.380   10.400   10.400 1.158   1.143   1.143 1.138   1.123   1.123
  17098         0.477   1.257   2.157   8.325   8.325   8.625   9.072   9.117   9.152 0.312   0.582   0.617 0.322   0.587   0.627
  17185         0.527   0.527   4.227   8.625   8.875   8.875   9.157   9.167   9.172 0.533   0.523   0.372 0.317   0.327   0.377
  17211         3.427   3.427   4.972   8.975   8.975   9.425   10.640   10.640   10.940 1.342   1.407   1.412 1.342   1.417   1.422
  17214         1.047   1.882   4.167   8.875   9.075   9.225   10.020   10.150   10.220 0.288   0.667   0.977 0.273   0.677   0.977
  17225         0.017   0.087   0.087   8.775   8.775   9.325   9.182   9.192   9.297 0.908   0.013   0.008 0.003   0.002   0.297
  17233         0.862   3.827   3.827   7.875   7.875   8.875   9.237   9.237   9.362 1.097   1.182   1.182 1.097   1.187   1.187
  17245         3.072   3.072   3.982   8.975   9.025   9.175   10.360   10.380   10.490 0.912   1.007   1.177 0.997   1.017   1.252
  17254         0.377   1.297   2.762   9.025   9.125   9.225   9.432   9.497   9.577 0.033   0.057   0.147 0.023   0.057   0.157
  17265         0.947   0.947   2.152   8.325   8.675   8.675   9.792   9.822   9.852 0.957   0.972   1.127 0.962   0.982   1.137
  17376         1.852   1.852   1.852   8.775   8.775   8.775   10.120   10.130   10.140 1.157   1.167   1.177 1.162   1.172   1.182
  17418         0.002   0.002   0.002   7.075   7.075   7.075   7.002   7.002   7.002 2.998   2.998   2.998 2.998   2.998   2.998
  17422         0.387   0.387   0.387   8.325   8.325   8.325   9.092   9.102   9.117 0.587   0.597   0.612 0.592   0.602   0.617
  17433         1.827   2.937   2.937   9.225   9.225   9.525   11.190   11.190   11.250 0.457   0.882   0.887 0.472   0.887   0.892
  17474         3.492   3.492   4.422   7.875   7.875   8.025   9.307   9.317   9.387 1.142   1.212   1.217 1.157   1.217   1.222
  17652         0.552   2.487   2.487   8.125   8.125   8.125   9.387   9.397   9.412 1.067   1.077   1.092 1.072   1.082   1.092
  1772         4.152   4.152   4.152   9.275   9.275   9.275   9.822   9.832   9.842 0.267   0.277   0.287 0.272   0.277   0.287
  17843         0.017   0.017   3.592   8.175   9.325   9.325   9.507   9.717   9.732 0.483   0.473   1.132 0.717   0.732   1.137
  18048         3.197   3.197   3.197   9.325   9.325   9.325   10.660   10.660   10.670 0.423   0.418   0.413 0.413   0.408   0.403
  18130         0.002   0.002   0.002   7.075   7.075   7.075   7.002   7.002   7.002 2.998   2.998   2.998 2.998   2.998   2.998
  18132         3.837   3.837   3.837   8.625   8.625   8.625   10.150   10.170   10.170 1.292   1.307   1.307 1.302   1.317   1.317
  18146         0.912   0.912   0.912   8.275   8.275   8.275   8.937   8.937   8.937 0.502   0.502   0.502 0.502   0.502   0.502
  18160         1.957   1.957   1.957   9.125   9.125   9.125   11.030   11.030   11.030 1.342   1.347   1.347 1.342   1.347   1.347
  1826         0.152   0.517   1.587   8.125   8.475   8.925   8.697   8.827   8.877 1.693   0.237   0.402 0.247   0.402   0.457
  18326         1.092   3.372   3.372   8.875   9.075   9.125   10.400   10.520   10.570 1.152   1.217   1.222 1.152   1.232   1.237
  18375         1.332   1.332   2.947   8.025   8.125   8.125   8.727   8.737   8.817 0.602   1.007   1.012 0.517   0.527   0.607
  18380         2.967   2.967   2.967   8.325   8.325   8.575   9.542   9.552   9.587 0.832   0.982   0.987 0.842   0.997   1.002
  18405         1.102   1.662   2.252   8.325   8.575   8.725   9.017   9.042   9.057 0.122   0.242   0.462 0.132   0.252   0.472
