# ID dust:Av_16 dust:Av_median dust:Av_84 dblplaw:tau_16 dblplaw:tau_median dblplaw:tau_84 dblplaw:beta_16 dblplaw:beta_median dblplaw:beta_84 dblplaw:metallicity_16 dblplaw:metallicity_median dblplaw:metallicity_84 dblplaw:massformed_16 dblplaw:massformed_median dblplaw:massformed_84 dblplaw:alpha_16 dblplaw:alpha_median dblplaw:alpha_84 redshift_16 redshift_median redshift_84 UVcolour_16 UVcolour_median UVcolour_84 VJcolour_16 VJcolour_median VJcolour_84 tmw_16 tmw_median tmw_84 sfr_16 sfr_median sfr_84 mstar_liv_16 mstar_liv_median mstar_liv_84 z_input global_log_evidence global_log_evidence_err min_chisq_reduced
2.740000000000000000e+02 5.489699441311385320e-01 6.884419693488974534e-01 8.369994202584247756e-01 4.005174434256842275e+00 4.726494674241803473e+00 5.066618812434053432e+00 1.514414892715321592e+01 1.023846669687163171e+02 4.818667430070730120e+02 1.229614545071665788e+00 1.616109489704224522e+00 1.870719298581843715e+00 9.971075085718229758e+00 1.008030512347502139e+01 1.019906628750773869e+01 2.674247150196172942e-02 1.719792472142948891e-01 1.797273406309532584e+00 1.008100223977271837e+00 1.050315185864062695e+00 1.089064760160879386e+00 8.260155101654390597e-01 8.752113531039427130e-01 9.271557230380922388e-01 7.694271731339923370e-01 8.133152465439543732e-01 8.552860620049749230e-01 4.696245222610879289e+00 5.050019411559850013e+00 5.229900429881391588e+00 8.442164069559742856e+00 1.311298081055803166e+01 1.928735195764118515e+01 6.471431248567411423e+09 7.889078707064210892e+09 9.760521155168027878e+09 0.000000000000000000e+00 -2.014462877592568759e+02 2.052511313723363040e-01 5.708293797078296539e-01
3.000000000000000000e+02 5.649992619424589746e-01 6.575323562984919379e-01 7.794786515008146344e-01 1.779822322409252200e+00 3.386182799607051042e+00 4.406938246406616244e+00 1.726907105189394942e+00 2.428786229487556980e+01 2.782523538346690657e+02 1.478491406538252173e+00 1.746973502438755377e+00 1.917312952590229269e+00 1.018853390211190302e+01 1.031357109178484954e+01 1.043203393741454654e+01 1.924874412951753030e-02 8.182270837147644083e-02 4.880696729623387742e-01 9.935114679190586440e-01 1.031534425248311404e+00 1.068052306006697538e+00 1.039342738989527781e+00 1.083197984280122483e+00 1.120950678806246881e+00 9.526684898603150486e-01 1.005569820544479853e+00 1.059873138910388590e+00 3.332463076724603290e+00 4.226575612411389571e+00 4.793549411304398156e+00 5.554680450601271247e+00 7.496276238206215581e+00 1.083574886547851435e+01 9.661189259894941330e+09 1.209810522208941460e+10 1.494044351940911865e+10 0.000000000000000000e+00 -2.025328732245195340e+02 2.007867939580559591e-01 1.479063659461554714e+00
3.440000000000000000e+02 1.987043079060649142e-01 3.072790712972909843e-01 4.079276998124873876e-01 4.122858631875899960e+00 4.709397865789555659e+00 4.992401600729635014e+00 1.890473433204734732e+01 1.019629257101571653e+02 4.306355336003571210e+02 7.288837982510645297e-01 9.900531281307815012e-01 1.325305139538154320e+00 9.414603098231998146e+00 9.512101816984086966e+00 9.632147963006969960e+00 3.135519307307858133e-02 3.114496772414662162e-01 4.752747489464139719e+00 1.050278721862490272e+00 1.091309117104857673e+00 1.115985465053633829e+00 5.032953668072996933e-01 5.465808492204509150e-01 5.956226557270933863e-01 3.101428817195902576e-01 3.854409932683324769e-01 4.386100826677798992e-01 4.703460708580892380e+00 4.999775164880631451e+00 5.141341887253307874e+00 2.641518028773960136e+00 3.904843246618578512e+00 5.312622984619956412e+00 1.807540026458787441e+09 2.168544838485634804e+09 2.677193391745242119e+09 0.000000000000000000e+00 3.789458081250823085e+01 2.056639840290443721e-01 6.729927798108950032e-01
4.070000000000000000e+02 7.122189357712187252e-02 2.293945496460850775e-01 4.702494634269649976e-01 4.600579783835342162e+00 5.016825554605358839e+00 5.369165786558252940e+00 5.040704473411524722e-01 1.026891003360154997e+01 1.808887490689879769e+02 3.491775734396449504e-01 8.086653885890801030e-01 1.379210179333721031e+00 9.644179396367679402e+00 9.713313639169792069e+00 9.860942392236239584e+00 3.303615874887810833e+01 1.414547004361344023e+02 5.033006714668962900e+02 9.582502898584004392e-01 1.002952817116808726e+00 1.044288446530463155e+00 1.537151360971126479e+00 1.594610340928905856e+00 1.652628081417901740e+00 6.937274106288207065e-01 7.721254196402291825e-01 8.538721303041639787e-01 3.059760360484171215e+00 4.461211986135447560e+00 4.884283742888350766e+00 3.399109686700108098e-21 3.428698319135249808e-06 1.966133975512080606e-02 2.634300103413231850e+09 3.041716676271691799e+09 3.844191279655101299e+09 0.000000000000000000e+00 2.783994093924974891e+02 1.985539816779507694e-01 1.133515975706898882e+00
4.820000000000000000e+02 1.229864800678193815e+00 1.434242393992535058e+00 1.657117442204277813e+00 3.638015009309299774e+00 4.683795308904909582e+00 5.095014077405997988e+00 6.360325151208067851e+00 2.817330455897953811e+01 2.777580471101508124e+02 1.489899714422181054e+00 1.779526855516786021e+00 1.934299976809518151e+00 1.026342400835448565e+01 1.043011708981861752e+01 1.056595253715410188e+01 2.291898034148880797e-02 1.166474736639607351e-01 9.979531016862300818e-01 1.100547260757056778e+00 1.122401970408537952e+00 1.143299303471423389e+00 1.273967461383637589e+00 1.334564179632977243e+00 1.393399363561516502e+00 1.355664199039624096e+00 1.397396617460152868e+00 1.451463640477118844e+00 4.199825892088189683e+00 4.714016991180666416e+00 5.060239614631105276e+00 1.828302153043031097e+01 3.007765845947195871e+01 4.929641287871154276e+01 1.292284994371623230e+10 1.754169105673664474e+10 2.231070429342505646e+10 0.000000000000000000e+00 2.555985142091174964e+02 2.077355510342028533e-01 2.031382568586109105e+00
4.990000000000000000e+02 2.035321394886904500e-01 4.041196428634852289e-01 6.730842633586874291e-01 4.584790164199210594e+00 4.905576659736189171e+00 5.289040690112464027e+00 8.262901504717694579e+00 7.528361779170430168e+01 4.400698213879398963e+02 4.929234056043863554e-01 1.002360937645161210e+00 1.549949103676359075e+00 1.018546444540240259e+01 1.024855109068104220e+01 1.031493591768009566e+01 6.356957746543069732e+01 1.951628640274786619e+02 5.982276380132361737e+02 8.962160568609163214e-01 9.667542950143467317e-01 1.024205209732161892e+00 1.700660576612806896e+00 1.764703625226172079e+00 1.839900775957761248e+00 8.589497897918493274e-01 9.527891402514114816e-01 1.059509340391233678e+00 4.373522896270250371e+00 4.735823278146346738e+00 5.084259664463981920e+00 4.446085202974010358e-41 2.009471640474619087e-12 6.373277810379665391e-04 8.999905207752794266e+09 1.050869332496107101e+10 1.207878183438673401e+10 0.000000000000000000e+00 -4.288587036383295299e+02 2.006170314270880883e-01 3.230734510793602521e-01
5.130000000000000000e+02 1.021300863968453099e+00 1.134757153559862841e+00 1.233148179711814896e+00 4.580292335245388813e+00 4.920358542806265056e+00 5.165429949057012138e+00 2.468007640228704602e+01 1.223094397402581706e+02 5.088947655762815998e+02 1.510435092809141677e+00 1.773467405553339260e+00 1.933342511260134344e+00 9.859201933690957986e+00 9.943926448831959419e+00 1.001916883441199957e+01 2.856088383442750150e-02 2.029893848022668867e-01 2.401675935757029645e+00 1.032855006603989434e+00 1.060317313816025342e+00 1.089117013048696236e+00 1.056332299554377130e+00 1.092612420923725125e+00 1.133391324278214540e+00 1.076081554074139746e+00 1.112552023191561545e+00 1.148866753997242585e+00 4.985402610699575021e+00 5.157905391381885529e+00 5.303808791454398097e+00 9.961975225087085661e+00 1.348743327685803806e+01 1.709195997798352096e+01 5.029563193860338211e+09 5.886188224661051750e+09 6.823396404695092201e+09 0.000000000000000000e+00 2.595922152328819834e+02 2.112312888888223383e-01 2.413178703388109358e+00
5.280000000000000000e+02 6.196547544045999389e-01 7.799762641167535815e-01 9.641919432091670128e-01 4.908056500773543718e+00 5.076104384924619239e+00 5.221597099486791294e+00 3.541320126345903674e+01 1.313591784390940234e+02 4.530392148438758682e+02 1.451067868333851374e+00 1.777596176692829433e+00 1.930875111212631223e+00 1.115412642729437920e+01 1.117781637903340020e+01 1.120611500937312854e+01 3.062634293987164824e+01 4.097631827412336492e+01 5.725545768552119341e+01 9.860937689862990796e-01 1.012883678722863889e+00 1.034597966997628182e+00 1.538106152146023975e+00 1.556309214381887074e+00 1.577109895952871099e+00 9.529693680811253120e-01 1.001822100434617724e+00 1.054239865410829147e+00 5.009382009422589377e+00 5.137763310514536386e+00 5.257449783453614245e+00 4.767594595592747453e+00 7.144117977071991810e+00 1.100329737464371860e+01 9.008580293676907349e+10 9.512768499599578857e+10 1.011370434765102692e+11 0.000000000000000000e+00 2.293301134467785118e+02 2.364584458179735116e-01 1.085178802009532761e+00
5.330000000000000000e+02 1.619061785348014371e-01 3.420229567650642788e-01 4.795919552193123603e-01 4.162021785853207589e+00 4.875932229259920092e+00 5.182310519839469443e+00 1.652702561431819461e+01 1.024049427130439227e+02 4.610319276536166626e+02 4.125276773636935568e-01 6.131023618465859526e-01 8.845796149312563639e-01 9.134446371548660792e+00 9.261557259281657295e+00 9.384029197269393663e+00 2.568271352580236283e-02 1.800470985162187787e-01 2.011364001082948327e+00 9.624515750542327330e-01 1.059000895905664041e+00 1.100170715192966719e+00 4.907289254852749139e-01 5.412544424484124761e-01 6.019977994201006766e-01 2.092869483412940212e-01 2.805174828404481957e-01 3.827265397646542056e-01 4.829308685181721295e+00 5.134586527566944447e+00 5.310416034530045515e+00 1.233527817983600006e+00 2.516659606156151252e+00 3.854075335744231889e+00 9.647572476993312836e+08 1.214687137854216099e+09 1.504433231725804329e+09 0.000000000000000000e+00 4.086001087157983136e+01 2.027490410926917341e-01 1.245002453679651122e+00
5.700000000000000000e+02 1.371224969653634385e-01 2.698439523345502744e-01 3.787889591060542571e-01 4.919073654007493523e+00 5.173414098526930793e+00 6.351144976014909460e+00 3.384185733007463881e+01 1.484191816894789042e+02 5.072187772310749097e+02 1.208731553247242019e+00 1.596476637912286778e+00 1.869886511500140625e+00 8.744978386798939241e+00 9.029776446751048624e+00 9.179442877256557054e+00 3.304191302165791766e-02 3.180612670056608970e-01 4.605745512863746782e+00 8.218766972529770731e-01 1.062106165542281211e+00 1.104804407238966668e+00 2.426800786328253690e-01 3.122276004684039208e-01 3.860192389393580781e-01 2.999568061504344074e-01 3.587662000480413838e-01 4.416110316477276365e-01 5.146101421123670860e+00 5.272140649473914031e+00 6.155991351376106202e+00 1.895180314388495546e+00 2.991525453019866720e+00 4.008103445836966650e+00 5.022156090569742918e+08 7.626193904724578857e+08 1.004525394680140376e+09 0.000000000000000000e+00 2.655865653565909952e+02 2.087492747168112062e-01 2.181357006025661072e+00
