# Creation date: Wed Apr 11 02:21:40 2018
####################################### 
# PHOTOMETRIC REDSHIFT with OPTIONS   # 
# Config file            : config/candels_ucr.para
# CAT_IN                 : /home/iary/CANDELS_GDSS_workshop.dat
# CAT_OUT                : cand.out
# CAT_LINES              : 0 10000000
# PARA_OUT               : config/output_merson.para
# INP_TYPE               : M
# CAT_FMT[0:MEME 1:MMEE] : 0
# CAT_MAG                : AB
# ZPHOTLIB               : BC03_CANDELS-GS 
# FIR_LIB                : NONE 
# FIR_LMIN               : 7.000000
# FIR_CONT               : -1
# FIR_SCALE              : -1
# FIR_FREESCALE          : YES
# FIR_SUBSTELLAR         : NO
# ERR_SCALE              : 0.020000 0.020000 0.020000 0.020000 0.020000 0.020000 0.020000 0.020000 0.020000 0.020000 0.020000 0.050000 0.050000 0.050000 0.050000 0.100000 0.100000 0.020000 0.020000 0.020000 
# ERR_FACTOR             : 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
# BD_SCALE               : 0
# GLB_CONTEXT            : 0
# FORB_CONTEXT           : 0
# CHI2_RM_BD             : 90.000000 2.000000
# Z_RANGE                : 0.000000 99.990000
# EBV_RANGE              : 0.000000 9.000000
# DZ_WIN                 : 0.300000
# MIN_THRES              : 0.020000
# MASS_SCALE             : 0.000000 0.000000
# MAG_ABS                : -24.150000 -10.000000
# MAG_ABS_AGN            : 0.000000 0.000000
# MAG_REF                : 2
# ZFORM (model)          : 0.000000 
# NZ_PRIOR               : -1 -1
# Z_INTERP               : YES
# Z_METHOD               : ML
# PROB_INTZ              : 0.000000 
# MABS_METHOD            : 1
# MABS_CONTEXT           : 134219769 
# MABS_REF               : 11 
# ADAPT_BAND             : 5
# ADAPT_LIM              : 1 26
# ADAPT_CONTEXT          : -1
# ADAPT_ZBIN             : 0.010000 2.000000
# ADAPT_MODBIN           : 1 1000
# ZFIX                   : N
# SPEC_OUT               : NO
# CHI2_OUT               : NO
# PDZ_OUT                : NONE
####################################### 
# Format: 
# IDENT 1 ZSPEC 2 Z_BEST 3 Z_ML 4 Z_ML68_LOW 5 Z_ML68_HIGH 6 EM_FLUX_OII 7 EM_FLUX_HB 8 EM_FLUX_OIIIB 9 EM_EW_OII 10 EM_EW_HB 11 EM_EW_OIIIB 12 CHI_BEST 13 MOD_BEST 14 EXTLAW_BEST 15 EBV_BEST 16 AGE_BEST 17 MASS_MED 18 MASS_INF 19 MASS_SUP 20 SFR_MED 21 SFR_INF 22 SFR_SUP 23 MASS_BEST 24 SFR_BEST 25 MAG_ABS() 26-45 NBAND_USED 46 CONTEXT 47 SCALE_BEST 48
# Format topcat: 
# IDENT  ZSPEC  Z_BEST  Z_ML  Z_ML68_LOW  Z_ML68_HIGH  EM_FLUX_OII  EM_FLUX_HB  EM_FLUX_HA  EM_EW_OII  EM_EW_HB  EM_EW_HA  CHI_BEST  MOD_BEST  EXTLAW_BEST  EBV_BEST  AGE_BEST  MASS_MED  MASS_INF  MASS_SUP  SFR_MED  SFR_INF  SFR_SUP  MASS_BEST  SFR_BEST  MAG_ABS0  MAG_ABS1  MAG_ABS2  MAG_ABS3  MAG_ABS4  MAG_ABS5  MAG_ABS6  MAG_ABS7  MAG_ABS8  MAG_ABS9  MAG_ABS10  MAG_ABS11  MAG_ABS12  MAG_ABS13  MAG_ABS14  MAG_ABS15  MAG_ABS16  MAG_ABS17  MAG_ABS18  MAG_ABS19  NBAND_USED  CONTEXT  SCALE_BEST 
          10578       3.06400      3.1552e+00      3.1543      3.1378      3.1721    3.76692e-17    1.72920e-17    7.01160e-17    3.07663e+01    8.80140e+00    4.08787e+01   7.87138e+01     1     0       0.300   4.042e+08    11.24966    11.21552    11.28389     1.20456     1.13352     1.27288    11.28382   1.724e+00     -23.008     -23.023     -23.629     -24.154     -24.399     -24.464     -24.627     -24.695     -24.739     -24.940     -25.105     -25.247     -25.257     -24.613     -24.198     -23.775     -23.245     -22.689     -24.051     -24.934   16               0   3.01681e+11
          15669       3.09600      2.7254e+00      2.7235      2.7027      2.7407    2.17551e-17    1.55590e-17    1.01332e-16    1.63506e+02    7.52307e+01    3.89478e+02   1.07211e+02    12     0       0.700   8.064e+08    10.66509    10.60409    10.72457     2.10049     2.03177     2.16888    10.60564   2.131e+00     -20.218     -20.234     -20.666     -21.398     -22.514     -22.645     -22.948     -23.157     -23.271     -23.662     -24.144     -24.606     -24.610     -24.128     -23.709     -23.344     -22.922     -19.953     -21.475     -23.651   14               0   1.97465e+12
          18883       3.09800      2.3891e+00      3.3026      2.3269      5.0929    1.18113e-17    8.34429e-18    5.36367e-17    5.51976e+01    2.88380e+01    1.65304e+02   8.04160e+00     2     1       0.700   3.210e+08    10.63420    10.51420    11.04474     2.03648     1.61088     2.47597    10.63854   2.042e+00     -21.135     -21.152     -21.630     -22.349     -22.988     -23.090     -23.330     -23.551     -23.623     -24.061     -24.276     -23.874     -23.881     -23.324     -22.956     -22.579     -22.132     -20.875     -22.142     -24.055   10               0   9.63963e+10
          19203       0.56100      6.9556e-01      0.6958      0.6791      0.7151    1.27491e-19    4.64800e-20    1.47329e-19    3.99147e-01    7.47777e-02    2.94545e-01   3.33052e+02     1     1       0.050   1.015e+09     9.00510     8.96707     9.03973    -2.69938    -2.76925    -2.62853     9.08498  -3.091e+00     -17.343     -17.345     -18.417     -18.824     -19.118     -19.153     -19.164     -19.231     -18.920     -18.973     -19.036     -18.264     -18.279     -18.580     -18.211     -17.765     -17.219     -17.068     -18.836     -18.966   15               0   2.08024e+09
          21662       2.05800      1.8500e+00      1.8109      1.5949      1.8572    1.98011e-17    1.68135e-17    1.31552e-16    5.75314e+01    2.59014e+01    1.54244e+02   3.15824e+01     2     0       0.700   4.535e+08    10.84654    10.80045    10.90514     1.74632     1.44888     1.93013    10.81363   1.967e+00     -19.994     -20.010     -20.827     -21.917     -22.503     -22.634     -22.941     -23.319     -23.433     -23.713     -23.947     -23.925     -23.930     -23.886     -23.465     -23.071     -22.595     -19.798     -21.687     -23.702   15               0   1.26183e+11
          22707       5.00300      4.7938e+00      4.8154      4.7147      4.9283    9.39202e-18    3.47537e-18    1.11924e-17    1.15134e+02    6.01868e+01    3.33010e+02   6.76022e+00    10     0       0.100   4.535e+08     9.40582     9.19196     9.58067     0.95575     0.83059     1.12127     9.34842   1.120e+00     -20.879     -20.891     -21.080     -21.555     -21.214     -21.232     -21.239     -21.251     -21.246     -21.236     -21.278     -21.022     -21.029     -20.316     -19.883     -19.566     -19.230     -20.754     -21.543     -21.234   12               0   3.04109e+11
          22959       2.00600      1.9974e+00      1.9961      1.9391      2.0404    1.35562e-17    8.55448e-18    4.87370e-17    7.75366e+01    3.29223e+01    1.73578e+02   1.65631e+01    11     0       0.500   1.434e+09    10.24751    10.10467    10.31105     1.39986     1.30604     1.59406    10.26167   1.376e+00     -19.472     -19.486     -20.238     -21.186     -21.264     -21.365     -21.856     -22.026     -22.109     -22.324     -22.604     -22.847     -22.855     -22.427     -22.023     -21.626     -21.153     -19.224     -21.013     -22.314   15               0   6.95493e+10
          23482       2.08210      2.2032e+00      2.1944      2.1436      2.2308    6.48461e-17    2.75233e-17    1.02634e-16    1.08761e+02    6.08334e+01    3.39303e+02   3.92605e+01    12     0       0.200   3.602e+08     9.86116     9.63458     9.91505     1.01775     0.93632     1.21253     9.58531   1.452e+00     -21.005     -21.016     -21.451     -21.384     -21.773     -21.820     -21.828     -21.900     -21.925     -21.951     -22.085     -21.809     -21.816     -21.133     -20.712     -20.376     -20.002     -20.880     -21.561     -21.948   15               0   7.97143e+11
          23720       1.02000      1.0826e+00      1.0650      1.0267      1.0967    2.01266e-17    9.30651e-18    3.80308e-17    4.40465e+01    2.20175e+01    1.27761e+02   1.14179e+01     4     1       0.200   7.187e+08     8.98010     8.92689     9.03546     0.23219     0.13902     0.31615     9.03673   3.126e-01     -18.877     -18.888     -19.347     -19.414     -19.641     -19.683     -19.789     -19.862     -19.847     -19.899     -20.143     -19.821     -19.831     -19.166     -18.771     -18.385     -17.929     -18.708     -19.353     -19.896   14               0   7.83025e+09
          23751       4.02900      4.5221e+00      4.3609      3.7821      4.8241    3.15140e-17    1.79465e-17    9.16224e-17    1.21480e+02    4.64843e+01    2.23718e+02   1.98672e+00     7     0       0.500   1.278e+09    11.14349    10.95143    11.28246     2.30836     1.79720     2.57329    11.21344   2.310e+00     -21.927     -21.942     -22.608     -23.590     -23.997     -24.089     -24.308     -24.505     -24.576     -24.666     -24.904     -24.923     -24.930     -24.368     -23.960     -23.562     -23.102     -21.664     -23.424     -24.746   12               0   6.39370e+12
          24572       4.03500      4.1656e-01      3.6794      0.2999      4.0584    8.47347e-18    3.13547e-18    1.00978e-17    1.13563e+02    7.17362e+01    4.07283e+02   1.41505e+01    11     1       0.100   1.609e+08     8.44376     7.21215     8.83349     0.57703    -3.16759     0.84949     8.68363   8.643e-01     -20.217     -20.226     -20.121     -20.062     -20.158     -20.186     -20.253     -20.281     -20.283     -20.308     -20.388     -20.164     -20.172     -19.453     -19.055     -18.749     -18.421     -20.142     -20.049     -20.307   11               0   5.34120e+10
          25835       0.54500      4.7605e-01      0.4814      0.4633      0.5408    1.05869e-16    6.42965e-17    3.51622e-16    3.22910e+01    1.69953e+01    1.12626e+02   6.87769e+01     7     0       0.300   1.139e+09     9.55115     9.50728     9.59592     0.29723     0.21578     0.39863     9.47304   6.157e-01     -18.834     -18.847     -19.361     -19.938     -20.175     -20.233     -20.377     -20.505     -20.538     -20.582     -20.836     -20.755     -20.764     -20.285     -19.872     -20.030     -19.579     -18.616     -19.829     -20.576   15               0   1.28613e+11
          26600       1.03900      1.5850e+00      1.5769      1.1178      1.6065    4.04760e-17    2.06243e-17    9.34950e-17    7.59812e+01    5.55515e+01    3.76361e+02   7.75909e+01     9     1       0.300   1.609e+08     8.88527     8.77876     8.94518     1.16955     0.69385     1.28173     8.98097   1.160e+00     -20.197     -20.209     -20.136     -20.346     -20.490     -20.520     -20.143     -20.165     -19.679     -19.714     -19.784     -21.150     -21.157     -19.850     -19.474     -19.220     -18.981     -20.152     -20.287     -19.711   15               0   1.05421e+11
