# ID_0    tau_v16_0   tau_v50_0   tau_v84_0  Mstar16_0   Mstar50_0   Mstar84_0   SFR16_0   SFR50_0   SFR84_0 
  17062         1.272   1.272   3.887   9.682   9.692   9.747   1.428   1.418   1.013
  17064         3.552   3.552   3.552   10.410   10.420   10.430   0.668   0.663   0.653
  17098         1.942   1.942   1.942   9.322   9.327   9.332   0.667   0.672   0.677
  17185         1.507   1.507   1.992   9.117   9.122   9.177   0.252   0.402   0.407
  17211         3.452   3.452   4.192   10.760   10.780   10.840   1.472   1.937   1.957
  17214         1.647   2.027   4.047   10.140   10.160   10.250   0.622   0.817   0.867
  17225         0.952   0.952   0.952   9.087   9.107   9.107   0.367   0.382   0.387
  17233         1.777   1.777   1.777   9.192   9.192   9.192   1.197   1.197   1.197
  17245         2.982   3.002   3.347   10.400   10.430   10.560   0.772   1.002   1.087
  17254         0.587   0.617   0.957   9.477   9.567   9.612   0.042   0.062   0.117
  17265         1.187   1.727   4.432   9.782   9.797   9.822   1.027   1.097   1.252
  17376         1.392   1.892   3.422   10.030   10.070   10.110   1.177   1.447   1.517
  17418         0.002   0.002   0.002   7.002   7.002   7.002   2.998   2.998   2.998
  17422         0.417   1.067   1.067   9.062   9.082   9.102   0.717   0.897   0.922
  17433         1.167   1.167   1.167   11.200   11.200   11.210   0.252   0.257   0.262
  17474         0.607   0.937   0.982   9.357   9.382   9.472   0.622   0.677   0.742
  17652         0.372   0.372   0.372   9.432   9.447   9.457   0.967   0.982   0.997
  1772         4.252   4.252   4.252   9.797   9.802   9.807   0.312   0.317   0.322
  17843         1.042   1.587   1.587   9.512   9.522   9.612   0.777   1.037   1.047
  18048         3.547   3.547   3.547   10.680   10.690   10.700   0.363   0.353   0.348
  18130         0.002   0.002   0.002   7.002   7.002   7.002   2.998   2.998   2.998
  18132         1.702   1.922   2.852   10.140   10.180   10.220   0.272   1.167   1.262
  18146         0.697   0.697   5.077   8.917   8.967   8.982   0.152   0.167   0.642
  18160         2.842   3.397   3.777   11.040   11.110   11.150   1.497   1.537   1.747
  1826         1.392   1.392   1.392   8.567   8.587   8.627   0.647   0.667   0.702
  18326         0.772   1.602   3.847   10.440   10.480   10.580   0.637   1.167   1.357
  18375         0.892   0.892   0.892   8.692   8.697   8.707   0.532   0.537   0.547
  18380         1.267   1.267   3.422   9.527   9.537   9.547   0.727   0.742   0.907
  18405         0.282   1.257   1.942   9.017   9.092   9.202   0.043   0.242   0.547
  18413         0.292   1.217   1.217   8.752   8.802   8.897   0.162   0.332   0.357
  18443         0.027   0.027   0.027   9.307   9.312   9.317   0.208   0.203   0.198
  1848         2.142   3.177   4.832   10.580   10.640   10.700   1.352   1.442   1.567
  1851         3.337   3.337   3.337   10.850   10.860   10.860   0.517   0.527   0.532
  18572         0.352   1.282   4.432   8.732   8.792   8.972   0.052   0.397   0.587
  18619         1.572   3.467   3.467   9.727   9.782   9.792   0.362   0.392   0.407
  1862         1.682   2.467   3.497   10.040   10.110   10.250   0.067   0.392   0.977
  18661         2.247   4.102   4.102   10.310   10.370   10.380   0.747   0.997   1.007
  18715         1.797   1.797   1.797   10.550   10.560   10.560   0.892   0.897   0.897
  1872         1.242   3.382   3.512   9.802   9.817   9.852   0.217   0.247   0.602
  18732         1.537   1.537   1.537   9.307   9.317   9.322   0.057   0.067   0.072
  18767         0.322   2.402   2.402   10.090   10.140   10.140   0.958   0.113   0.113
  18821         2.592   2.592   3.157   10.760   10.780   10.820   1.612   1.627   1.652
  1886         3.387   4.142   4.142   10.110   10.110   10.130   1.007   1.092   1.097
  18908         0.672   1.832   3.842   9.617   9.687   9.792   0.447   0.667   0.827
  18941         1.412   1.412   1.412   10.390   10.400   10.400   1.168   1.163   1.158
  18946         1.487   1.767   1.767   9.237   9.322   9.327   0.152   0.157   0.367
  190         0.212   0.212   0.212   9.672   9.677   9.687   0.873   0.873   0.863
  19133         2.987   2.987   2.987   8.922   8.927   8.932   0.412   0.417   0.422
  19136         0.782   0.797   4.482   9.807   9.837   9.902   0.777   0.802   1.012
  19176         0.407   0.407   0.407   9.127   9.137   9.142   0.232   0.247   0.252
  1918         0.832   1.032   1.742   10.460   10.560   10.600   0.132   0.217   0.547
  19202         1.527   2.577   3.857   9.117   9.147   9.177   0.027   0.187   0.372
  19422         2.277   2.587   3.852   10.370   10.440   10.470   1.012   1.147   1.267
  19508         4.897   4.897   4.897   10.670   10.670   10.670   1.987   1.987   1.987
  19633         1.142   1.257   2.747   9.942   9.992   10.070   0.852   0.917   1.162
  20066         0.237   0.237   0.237   9.252   9.252   9.252   0.477   0.477   0.477
  2013         1.377   2.307   2.937   9.802   9.822   9.852   0.582   0.617   0.927
  20168         0.892   2.132   3.677   9.942   9.967   9.997   0.957   1.157   1.207
  20261         1.192   1.192   2.432   9.592   9.612   9.627   0.447   0.467   0.872
  20344         0.957   1.542   3.392   9.617   9.632   9.717   0.727   0.807   0.972
  2046         1.052   1.537   4.222   9.892   9.942   9.967   0.817   0.992   1.147
  20539         1.187   1.227   3.577   9.427   9.457   9.472   0.682   0.697   0.822
  20627         0.702   0.957   1.322   9.477   9.497   9.592   0.642   0.662   0.812
  20639         2.342   3.212   3.487   10.600   10.640   10.670   1.332   1.402   1.502
  20663         1.282   1.282   1.637   9.022   9.027   9.052   0.377   0.387   0.397
  2068         1.217   1.217   1.217   9.042   9.042   9.042   0.153   0.153   0.153
  20860         1.752   2.077   2.077   8.907   8.947   8.957   0.127   0.137   0.602
  2096         2.212   2.297   3.917   9.417   9.437   9.532   0.067   0.342   0.507
  21         1.212   3.232   4.267   9.802   9.862   9.882   0.277   0.412   0.437
  2100         1.257   1.927   2.122   9.117   9.132   9.147   0.337   0.367   0.432
  2102         0.272   1.022   1.022   9.212   9.212   9.392   0.172   0.507   0.507
  21038         1.872   3.102   3.717   10.350   10.380   10.440   0.982   1.222   1.267
  21174         1.237   1.257   1.257   9.447   9.522   9.647   0.082   0.122   0.257
