# ID_0    tau_v16_0   tau_v50_0   tau_v84_0  Mstar16_0   Mstar50_0   Mstar84_0   SFR16_0   SFR50_0   SFR84_0 
  7603         0.482   0.927   0.927   8.837   8.847   8.902   0.372   0.517   0.527
  7649         0.397   0.427   0.897   9.447   9.512   9.557   0.092   0.232   0.507
  7764         0.797   1.252   2.517   9.227   9.287   9.417   0.193   0.322   0.522
  7772         1.297   1.502   2.477   9.547   9.572   9.627   0.357   0.537   0.607
  7837         1.152   1.217   1.392   10.360   10.430   10.460   1.337   1.467   1.547
  7886         1.622   2.562   5.012   10.690   10.730   10.820   0.632   0.757   0.972
  79         2.272   3.097   3.877   10.970   11.030   11.070   1.257   1.672   1.767
  797         2.017   2.687   4.102   10.520   10.560   10.610   1.002   1.182   1.297
  7988         1.377   1.377   2.552   9.782   9.797   9.882   0.577   0.592   0.807
  8038         0.627   2.427   3.012   9.557   9.672   9.702   0.218   0.207   0.472
  8041         4.222   4.222   4.222   10.470   10.470   10.480   0.453   0.448   0.443
  8067         1.287   1.287   4.007   10.420   10.430   10.480   0.453   0.448   0.033
  8113         0.782   0.782   1.127   9.227   9.247   9.247   0.192   0.192   0.217
  8154         2.437   3.032   3.427   10.510   10.550   10.620   1.312   1.407   1.512
  8167         3.992   3.992   3.992   10.690   10.700   10.700   0.487   0.492   0.492
  8402         1.957   1.957   3.597   9.827   9.847   9.887   0.762   0.832   0.857
  8461         1.127   2.072   3.607   9.037   9.077   9.117   0.212   0.372   0.477
  8540         0.002   0.002   0.002   7.002   7.002   7.002   2.998   2.998   2.998
  8586         0.367   0.367   0.367   8.942   8.952   8.957   0.637   0.647   0.652
  8976         0.222   0.222   4.282   8.877   9.107   9.117   0.227   0.237   0.467
  9026         3.472   3.547   3.547   10.390   10.530   10.540   0.077   0.842   0.852
  931         1.997   2.427   2.427   9.557   9.572   9.577   0.252   0.457   0.462
  9372         0.607   2.322   2.322   8.752   8.782   8.792   0.097   0.142   0.152
  9380         3.822   3.822   3.822   9.807   9.817   9.827   1.132   1.142   1.152
  952         0.487   2.507   3.517   8.997   9.032   9.087   0.137   0.317   0.437
  9606         0.512   0.512   2.827   8.842   8.957   8.972   0.042   0.057   0.407
  9769         2.877   2.877   3.902   10.830   10.840   10.950   1.777   1.792   2.172
  9871         1.917   2.177   4.172   9.447   9.477   9.552   0.482   0.552   0.662
  9884         0.307   0.327   0.327   9.352   9.587   9.597   0.867   0.882   1.052
  994         1.862   2.122   3.077   9.827   9.867   9.897   0.698   0.258   0.362
