# ID      zz                   CTIO_U             eCTIO_U           VIMOS_U            eVIMOS_U           ACS_F435W         eACS_F435W         ACS_F606W         eACS_F606W         ACS_F775W        eACS_F775W         ACS_F814W        eACS_F814W        ACS_F850LP       eACS_F850LP        WFC3_F098M   eWFC3_F098M   WFC3_F105W       eWFC3_F105W        WFC3_F125W       eWFC3_F125W        WFC3_F160W       eWFC3_F160W        ISAAC_KS         eISAAC_KS         HAWKI_KS         eHAWKI_KS         IRAC_CH1         eIRAC_CH1         IRAC_CH2          eIRAC_CH2         IRAC_CH3         eIRAC_CH3        IRAC_CH4          eIRAC_CH4        flg1   flg2   ID_MIPSord        ID_PACSord                 ID_SPIREord                 MIPS24   eMIPS24   PACS100    ePACS100   PACS160     ePACS160   SPIRE250    eSPIRE250   SPIRE350    eSPIRE350   SPIRE500     eSPIRE500   MIPSord   MIPS_ncount   MIPS24_flg   MIPS24_nPSF   PACSord   PACS_ncount   PACS100_flg   PACS160_flg   PACS100_nPSF   PACS160_nPSF   SPIREord   SPIRE_ncount   SPIRE250_flg   SPIRE350_flg   SPIRE500_flg   SPIRE250_nPSF   SPIRE350_nPSF   SPIRE500_nPSF  
  274     1.072                0.708598126917     0.0169687178332   0.737904230129     0.0101945236821    0.767008187694    0.0275511852593    1.17057703596     0.0172502606925    2.11836113525    0.0390216541728    2.42549285711    0.0513811140027   3.44191388268    0.0475517975858    -99.0        -99.0         -99.0            -99.0              4.67304539632    0.0387363048064    5.4651237452     0.0503356498682    -99.0            -99.0             -99.0            -99.0             10.4423921854    0.105795784958    8.49571627156     0.0704235947083   6.20011864209    0.399736421282   4.95678406594     0.39262154822    0      0.0    -99.00            GDS033221.68-275623.27_3   GDS033221.37-275625.09_6    -99.00       -99.00        -6595.00   903.51     -16666.00   1483.20    -23296.00   2236.40     -28585.00   4030.50     -21138.00    3339.70     -99.00        0             0            0             3         6             1             1             0              0              6.0        16             1              1              1              0               0               0              
  300     1.0893               0.460892880981     0.0178289172972   0.503964563613     0.00881920181595   0.469461519383    0.0237814521178    0.790678628       0.0160213224352    1.5819763986     0.0393404609472    1.78978143941    0.0445081398707   2.63269167422    0.0436463755452    -99.0        -99.0         -99.0            -99.0              4.08131391597    0.037590290331     4.92946741312    0.0454020727274    -99.0            -99.0             -99.0            -99.0             11.0662378398    0.101923817142    8.83079900419     0.0732011981266   6.14893638513    0.368119680712   5.72796030986     0.364019602228   0      0.03   MIPS0024826       -99.00                              -99.00                      33.70    8.09      -99.00         -99.00         -99.00          -99.00         -99.00      -99.00      -99.00      -99.00      -99.00       -99.00      1         1             1            1             -99.00        0             0             0             0              0              -99.0      0              0              0              0              0               0               0              
  344     1.053                0.600343758733     0.017693985146    0.644465984742     0.010090776832     0.682338694142    0.0289090294613    0.757879220916    0.0132626186124    1.10052522142    0.0344631203826    1.31825673856    0.0582796476468   1.74260918983    0.0337050499246    -99.0        -99.0         1.74904103997    0.0418840845869    2.01372424986    0.0333847543618    2.1379620895     0.0433209888027    -99.0            -99.0             -99.0            -99.0             3.00054400244    0.113307729411    2.16770410482     0.0818576997876   1.35020589566    0.414114000514   1.40993794936     0.398670458401   0      0.0    -99.00            -99.00                              -99.00                      -99.00       -99.00        -99.00         -99.00         -99.00          -99.00         -99.00      -99.00      -99.00      -99.00      -99.00       -99.00      -99.00        0             0            0             -99.00        0             0             0             0              0              -99.0      0              0              0              0              0               0               0              
  407     1.03                 0.046302026586     0.0190626468872   0.0140216783371    0.00569526936612   0.0568591024699   0.0157107506098    0.103086074006    0.00996930720669   0.340721861659   0.0238500488172    0.402902535083   0.0241206516515   0.660693448008   0.0267749307658    -99.0        -99.0         0.887973489326   0.0359855675431    1.12512299297    0.0269431908864    1.40734313832    0.0324052733102    1.85353162341    0.119501599993    -99.0            -99.0             2.4797048988     0.13703355684     1.93196831702     0.0925292460955   0.491586559157   0.433298931224   0.575970181255    0.44507955059    0      0.01   -99.00            -99.00                              -99.00                      -99.00       -99.00        -99.00         -99.00         -99.00          -99.00         -99.00      -99.00      -99.00      -99.00      -99.00       -99.00      -99.00        0             0            0             -99.00        0             0             0             0              0              -99.0      0              0              0              0              0               0               0              
  482     1.0490000000000002   0.252115763081     0.0181121615307   0.220394118181     0.00751064792439   0.273400937851    0.0266920263736    0.454569193585    0.0175842953812    1.11173172728    0.0399337676813    1.39444053887    0.0410984703728   2.08161304092    0.0440964386481    -99.0        -99.0         2.89467626418    0.0586540980514    4.1686938347     0.046074106949     5.98136079781    0.0550903688355    9.91744955231    0.137014628998    -99.0            -99.0             18.4671552399    0.102053271277    15.7906497273     0.0727186293415   14.2823608002    0.368327131998   13.341356829      0.368635312258   0      0.02   MIPS0017982       -99.00                              -99.00                      34.23    6.02      -99.00         -99.00         -99.00          -99.00         -99.00      -99.00      -99.00      -99.00      -99.00       -99.00      1         1             1            1             -99.00        0             0             0             0              0              -99.0      0              0              0              0              0               0               0              
  499     1.002                0.0265216170551    0.0181250655257   0.0295120922667    0.00494705875055   -99.0             -99.0              0.259896242111    0.0292035407851    -99.0            -99.0              1.30737447016    0.0337158188187   2.19785987278    0.101215187591     -99.0        -99.0         -99.0            -99.0              3.75664364614    0.062279939947     5.0211130547     0.050870776308     6.69267906936    0.123283704458    -99.0            -99.0             9.99079389984    0.138027918606    7.56484440833     0.0905772294203   5.49034961025    0.495566288981   3.27189983623     0.527367945207   0      0.03   -99.00            -99.00                              -99.00                      -99.00       -99.00        -99.00         -99.00         -99.00          -99.00         -99.00      -99.00      -99.00      -99.00      -99.00       -99.00      -99.00        0             0            0             -99.00        0             0             0             0              0              -99.0      0              0              0              0              0               0               0              
  513     1.09                 0.235071511594     0.0173207090683   0.230356250012     0.00869880382462   0.237903044588    0.0219116801619    0.483949449302    0.0138177513678    0.987188301068   0.0327324249507    1.1481536215     0.0327821455252   1.67957731399    0.0355798011086    -99.0        -99.0         2.15575796804    0.045667108684     2.69898207347    0.0348019609764    3.48337315036    0.0449162733004    4.81725903559    0.11979520752     -99.0            -99.0             9.05315591648    0.108397441661    7.48858907522     0.0827669451463   5.55136777435    0.363022905796   5.23359365187     0.361523841767   0      0.0    MIPS0020873       -99.00                              -99.00                      44.75    5.82      -99.00         -99.00         -99.00          -99.00         -99.00      -99.00      -99.00      -99.00      -99.00       -99.00      1         1             1            1             -99.00        0             0             0             0              0              -99.0      0              0              0              0              0               0               0              
  528     1.0887               0.930679183163     0.0248584289567   0.987188301068     0.0154569784489    1.25892541179     0.0695707892733    3.24489015661     0.0418411599368    9.62941712972    0.0975592302833    13.0376704714    0.120081382699    19.6607463388    0.108649299448     -99.0        -99.0         25.8226019063    0.142700971708     33.1741649695    0.061109070185     41.4190372622    0.0762966862129    60.422682205     0.222605387718    -99.0            -99.0             92.9822390585    0.171279614056    80.9095899178     0.07452048625     56.234132519     0.414348400819   50.4428945952     0.418136605713   0      0.03   MIPS0018035       GDS033227.30-275559.74_1   GDS033227.21-275558.49_1    309.90   9.30      5639.10    733.09     9226.20     1024.10    12755.00    1632.60     8736.60     2184.10     -1572.20     -726.98     1         1             1            1             1         3             1             1             3              9              1.0        13             1              1              -1             20              20              43             
  533     1.036                0.373938343643     0.0182537269424   0.419952334664     0.00812259827875   0.464729241676    0.0269659813289    0.51333396438     0.0189119221458    0.798730006111   0.0456107663739    0.891250938134   0.036118387787    1.13657997475    0.0450136402379    -99.0        -99.0         1.17923402065    0.0456168161754    1.34029377342    0.03826814174      1.44677168325    0.0479709347157    1.31219989902    0.134152465537    -99.0            -99.0             1.84501541918    0.117253218015    1.31340903653     0.0774204433542   0.918755601666   0.407024692061   -99.0             -99.0            0      0.0    MIPS0024829_3     -99.00                              -99.00                      30.51    6.71      -99.00         -99.00         -99.00          -99.00         -99.00      -99.00      -99.00      -99.00      -99.00       -99.00      3         4             1            0             -99.00        0             0             0             0              0              -99.0      0              0              0              0              0               0               0              
  570     1.0907               0.52625956208      0.0159951979795   0.565978586243     0.00834056867607   0.573852132675    0.0232556432465    0.646844664172    0.0125110850021    0.885523314503   0.0260991076285    0.91453430312    0.0261118338621   1.02706989603    0.0283789899846    -99.0        -99.0         1.20115761794    0.034295518555     1.20670190959    0.0244510976927    1.23936720482    0.0308204832661    1.17706379078    0.0986545391888   -99.0            -99.0             1.94267432303    0.116302496356    1.40734313832     0.0842537106065   1.6084219824     0.398499664439   1.03944137515     0.394432685108   0      0.0    -99.00            -99.00                              -99.00                      -99.00       -99.00        -99.00         -99.00         -99.00          -99.00         -99.00      -99.00      -99.00      -99.00      -99.00       -99.00      -99.00        0             0            0             -99.00        0             0             0             0              0              -99.0      0              0              0              0              0               0               0              
